timestamp,pressure_hPa,relative_altitude_m
2025-09-10T08:36:27Z,1009.9,2.135
2025-09-10T08:36:29Z,1009.9,2.098
2025-09-10T08:36:30Z,1009.9,2.072
2025-09-10T08:36:31Z,1009.9,2.048
2025-09-10T08:36:32Z,1009.9,2.048
2025-09-10T08:36:33Z,1009.9,2.050
2025-09-10T08:36:34Z,1009.9,2.072
2025-09-10T08:36:35Z,1009.9,2.116
2025-09-10T08:36:36Z,1009.9,2.183
2025-09-10T08:36:37Z,1009.9,2.251
2025-09-10T08:36:38Z,1009.9,2.294
2025-09-10T08:36:39Z,1009.9,2.325
2025-09-10T08:36:40Z,1009.9,2.325
2025-09-10T08:36:41Z,1009.9,2.320
2025-09-10T08:36:43Z,1009.9,2.291
2025-09-10T08:36:44Z,1009.9,2.262
2025-09-10T08:36:45Z,1009.9,2.214
2025-09-10T08:36:46Z,1009.9,2.183
2025-09-10T08:36:47Z,1009.9,2.146
2025-09-10T08:36:48Z,1009.9,2.116
2025-09-10T08:36:49Z,1009.9,2.093
2025-09-10T08:36:50Z,1009.9,2.085
2025-09-10T08:36:51Z,1009.9,2.072
2025-09-10T08:36:52Z,1009.9,2.058
2025-09-10T08:36:53Z,1009.9,2.045
2025-09-10T08:36:54Z,1009.9,2.019
2025-09-10T08:36:55Z,1009.9,1.979
2025-09-10T08:36:57Z,1009.9,1.963
2025-09-10T08:36:58Z,1009.9,1.939
2025-09-10T08:36:59Z,1009.9,1.913
2025-09-10T08:37:00Z,1009.9,1.913
2025-09-10T08:37:01Z,1009.9,1.926
2025-09-10T08:37:02Z,1009.9,1.934
2025-09-10T08:37:03Z,1009.9,1.934
2025-09-10T08:37:04Z,1009.9,1.831
2025-09-10T08:37:05Z,1010.0,1.617
2025-09-10T08:37:06Z,1010.0,1.390
2025-09-10T08:37:07Z,1010.0,1.136
2025-09-10T08:37:08Z,1010.0,0.883
2025-09-10T08:37:09Z,1010.1,0.735
2025-09-10T08:37:11Z,1010.1,0.700
2025-09-10T08:37:12Z,1010.1,0.700
2025-09-10T08:37:13Z,1010.1,0.727
2025-09-10T08:37:14Z,1010.1,0.740
2025-09-10T08:37:15Z,1010.1,0.756
2025-09-10T08:37:16Z,1010.1,0.785
2025-09-10T08:37:17Z,1010.1,0.795
2025-09-10T08:37:18Z,1010.1,0.801
2025-09-10T08:37:19Z,1010.1,0.819
2025-09-10T08:37:20Z,1010.1,0.827
2025-09-10T08:37:21Z,1010.1,0.846
2025-09-10T08:37:22Z,1010.1,0.846
2025-09-10T08:37:23Z,1010.1,0.856
2025-09-10T08:37:25Z,1010.1,0.859
2025-09-10T08:37:26Z,1010.1,0.869
2025-09-10T08:37:27Z,1010.1,0.869
2025-09-10T08:37:28Z,1010.1,0.869
2025-09-10T08:37:29Z,1010.0,0.875
2025-09-10T08:37:30Z,1010.0,0.880
2025-09-10T08:37:31Z,1010.0,0.890
2025-09-10T08:37:32Z,1010.0,0.893
2025-09-10T08:37:33Z,1010.0,0.912
2025-09-10T08:37:34Z,1010.0,0.925
2025-09-10T08:37:35Z,1010.0,0.941
2025-09-10T08:37:36Z,1010.0,0.943
2025-09-10T08:37:37Z,1010.0,0.941
2025-09-10T08:37:39Z,1010.0,0.938
2025-09-10T08:37:40Z,1010.0,0.920
2025-09-10T08:37:41Z,1010.0,0.920
2025-09-10T08:37:42Z,1010.0,0.920
2025-09-10T08:37:43Z,1010.0,0.954
2025-09-10T08:37:44Z,1010.0,1.004
2025-09-10T08:37:45Z,1010.0,1.067
2025-09-10T08:37:46Z,1010.0,1.120
2025-09-10T08:37:47Z,1010.0,1.155
2025-09-10T08:37:48Z,1010.0,1.168
2025-09-10T08:37:49Z,1010.0,1.168
2025-09-10T08:37:50Z,1010.0,1.157
2025-09-10T08:37:51Z,1010.0,1.152
2025-09-10T08:37:52Z,1010.0,1.131
2025-09-10T08:37:54Z,1010.0,1.107
2025-09-10T08:37:55Z,1010.0,1.097
2025-09-10T08:37:56Z,1010.0,1.073
2025-09-10T08:37:57Z,1010.0,1.073
2025-09-10T08:37:58Z,1010.0,1.102
2025-09-10T08:37:59Z,1010.0,1.247
2025-09-10T08:38:00Z,1010.0,1.247
2025-09-10T08:38:01Z,1010.0,1.165
